poiID;theme;subTheme;poiName;lat;long
1;Transport;Railway Station;Flemington Bridge Railway Station;-37.788164589;144.939277838304
2;Mixed Use;Retail/Office/Carpark;Council House 2 (CH2);-37.8142591432;144.966638432727
3;Place Of Assembly;Library;The Melbourne Athenaeum Library;-37.8148855756;144.967291289941
4;Leisure/Recreation;Informal Outdoor Facility (Park/Garden/Reserve);Carlton Gardens South;-37.8060684577;144.971266479841
5;Place of Worship;Church;St Francis Church;-37.8118847832;144.962422614541
6;Place of Worship;Church;Wesley Church;-37.8101576447;144.968168215633
7;Place of Worship;Church;St Augustines Church;-37.8169741359;144.954862000132
8;Place of Worship;Church;St James Church;-37.8101281202;144.952468571683
9;Place of Worship;Church;St Mary's Anglican Church;-37.8031663673;144.953761537074
10;Place of Worship;Church;Romanian Orthodox;-37.8052307297;144.966986444597
11;Place of Worship;Church;Welsh Presbyterian Church;-37.8104478768;144.959873260087
12;Place of Worship;Church;Church of Christ;-37.8104524079;144.96388920294
13;Place of Worship;Church;Scots Church;-37.8145687803;144.96855105335
14;Place of Worship;Church;St Michael's Uniting Church;-37.8143851325;144.969174036096
15;Place of Worship;Church;Greek Orthodox Church;-37.8088064668;144.978259089269
16;Place of Worship;Church;St Peter's Eastern Hill;-37.8097086715;144.975259178609
17;Place of Worship;Church;Lutheran Trinity Church;-37.8109757054;144.975729473552
18;Place of Worship;Church;Holy Trinity;-37.8140667111;144.983197322289
19;Place of Worship;Church;St Johns Lutheran Church;-37.8209399677;144.967121099857
20;Place of Worship;Church;North Melbourne Uniting;-37.8035538471;144.947671538375
21;Place of Worship;Church;Melbourne Unitarian Church;-37.8114487773;144.984664890999
22;Place of Worship;Church;All Nations Uniting Church;-37.7959155304;144.968981110942
23;Place of Worship;Church;Our Lady of Lebanon Church;-37.802576654;144.969334720932
24;Place of Worship;Church;St Michaels;-37.7940512679;144.945399480629
25;Place of Worship;Church;Ukranian Catholic Cathedral;-37.796308458;144.944313454028
26;Place of Worship;Church;St Alban Anglican Church;-37.7942169478;144.94161451392
27;Place of Worship;Church;Christ Church Kensington;-37.7932109481;144.92729572288
28;Place of Worship;Church;Holy Rosary;-37.7948087414;144.928362125005
29;Place of Worship;Church;Collins Street Baptist Church;-37.8147011905;144.968072486031
30;Place of Worship;Church;St Thomas Aquinas Church;-37.8353076903;144.976809080472
