poiID;title;text;
1;Sandor;Located adjacent to Buda Castle Complex, Sándor Palace has served as the official residence and workspace of the President of Hungary since 2003. If you can, try to time your visit for the hourly changing of the guards. From here, you can continue to explore the Buda Castle Complex and adjacent ruins.
1;Restored part of Castle Hill;The Changing of the Guard takes place in this area.<br><br>The top of Castle Hill was pounded to rubble during World War II and the buildings you see today are mid to late 20th century restorations.
1;President place;Here is a beautiful gate with attractive architecture!its near the President place.there are many beautiful views 😍😍
1;OK;Sandor Palace is the office of the President of Hungary. <br>The building looks nice but nothing much to do in here.
1;An elegant palace.;Nothing much to see or do here, other than watch the changing of the guard at this rather elegant palace.
1;Changing of the guard.;There really isn't much special about the palace. Actually looks like a big house. Nothing really grand about it. It was nice to see the changing of the guard though. Amazing how close you are to it all.
1;It was great to catch the change of the guard.;The palace is just a normal looking palace, nothing exceptional in contrast with the surroundings. What was really great is that we had a chance to watch the changing of the guard and this really made the visit here worthwhile.
1;Official residence of the President of Hungary from 2003. It is rarely open to the public.;Located on Castle Hill near to the top Funicular Station is this rather unassuming building that has been used as the official residence of the President of Hungary since 2003. The original building dated from 1806 and housed aristocrats and Prime Ministers. It was almost totally destroyed by bombing in WWII but was gradually rebuilt and renovated following Hungary's change to democracy in 1989.<br><br>The facade which faces the square and has two soldiers guarding its entrance, has two green doors above which sits the coat of arms of Hungary with the Hungarian and EU flags on either side.<br><br>Not a must see.
1;Sandor Palace;Sandor Palace is situated next to Buda Castle. It is where the Hungarian President lives and has 2 guards outside. The funicular is next to it. You cannot go inside.
1;Hungary’s Presidential Residence;The Sandor Palace is the official residence and headquarters of the president of Hungary. It was, as with all other buildings in Budapest, destroyed in the world war 2. Originally built in 1806 in the neoclassical style, Sandor Palace is housed inside Buda castle. You can see the guards change(not as lavish as the Buckingham places guards change in London, but I like the simplicity!) every hour up until 5pm with a little pomp of marching and drum rolls and rifle displays. <br><br>The views of neighbouring parliament and chain bridge as well as St Stephen’s Basilica are grand. There’s no entry fees to the castle unless you wish to visit the museums. If you have a bit of time hang around for the sunset as I must say the views are extraordinarily! <br><br>
1;we did see changing the guards;its a beautiful plain building<br>but we got a bonus when we was there<br>we watch the changing of the guards<br>very interesting<br>we could not visit it inside
1;Hungarian Presidential Palace next to Buda Castle;This is the residence of the President and is located at the top next to Buda Castle where the funicular is located.  You will see there are always military soldiers guarding the palace and you are welcome to take photographs, but you won't be able to get access inside the palace.<br><br>As a building on its own, it is interesting but not very eye-catching - though if you happen to see the official changing of the guards ceremony (which I didn't :(  sadly), then it is well worth it and probably deserves an extra star.  Here are the ceremony details:<br><br>*  Monday to Sunday: 9am – 5pm on the hour (eg 10am, 11am, etc).<br><br>*  Special Saturdays: once a month on the last Saturday of the month, the changing of the guards is accompanied by music. The Special Saturday Changing of the Guards is at 12pm.
2;The visitors feel cheated;We went to the library near National Museum on Saturday, 15 April 2023. The ticket cost 1700 forints and not the 1000 forints mentioned by others. None of the pictures we see on the net could be seen in any of the places. Large areas of the library were locked away. No one though we made it clear that we were here to see the images on the net, we were very quiet, but nobody guides us to any of those areas and we feel very cheated. <br>We are quiet sure we didn't miss them. Half the building was locked away and  we feel cheated because we paid quite a significant sum and we did not see any of the areas that the library talks about. <br><br>There were not even any signs up in English pointing to the historical nature of the building and how it has been built. That's up on the net but no details were there inside the building. this is a cheat on the tourists. Of course one must maintain the decorum of the library and we did. But the tourists should get to see what they paid for. The Municipality owes us an explanation on why we were cheated. We would like our money returned and we would like a proper visit where we get to see what we came to see.
