poiID;title;text;
1;Best Place to Buy Shalwar Qameez;Amazing place for shopping. Especially if you are going to buy cultural dresses, there is no better place than this. Choose a day where there is less traffic otherwise you would have to spend many hours on the road.
1;Bazaar shopping;This was my 3rd stop of my 1/2 day Lahore tour . Delhi Gate was the entrance to shahi haman , bazaar , walking distance to Masjid Wazir Khan . Can see the daily life of the locals , can bargain here for clothes , scarves, khussa shoes etc .
1;Very interesting place;This was the first time I had travelled to Walled city Lahore with my friends. The expert WCLA guide Fatima who accompanied us was outstanding - passionate, informative, engaging and entertaining. The itinerary was very well thought out, I would highly recommend this company to anyone wanting a fun, relaxed, educational holiday - they will deliver!<br>We travelled from Lahore fort to Delhi gate by Rangeela Rikshaw. A local ride known as Rickshaw is prepared in traditional truck art design and is popular among the masses as Rangeela Rickshaw. The tourist avails this ride for touring inside the walled city of Lahore. The Rangeela Rickshaw is used as a tourist ride on designated routes inside the walled city Lahore only.<br>
1;Tick the box;This is one of the twelve gates into the walled old city. Though you cannot find all twelve now. This one is massive and seems to have been reconstructed at some point. Originally built by the mughal emperor Akbar.
1;Historical  Lahore.;Gate is beautiful but there were no signs leading upto it ,no designated parking areas for visitors and no guides available and a very lame excuse was  given for it .Shahi Hamam and Masjid Wazir khan are within walking distance to it.
1;A Gate to History;I would strongly recommend travelers to visit this ancient gate,which tells its own story.Mostly the buildings are of Mughul period,fascinating building structure,woodwork.
1;Organized Cultural Tours for Our Guest;We have organized many cultural and heritage tours for our guest . People just know about the dehli gate but there are a lot of heritage that are still hidden . This was the famous place of Prince DaraShakoo who was the Son of ShahJahan he made path with the red stone to pay tribute to His spiritual teacher Hazart Mian Meer in this place . The places is well restored by Agha khan Foundation and walled city  and that was only the gate that King Akber mostly used it to enter the Lahore City <br>Highly recommended to see this place
1;main entrance to the old city;The market and hustle and bustle are worth a look. Steps away are the Sahi Hammam and the beautiful Wazir Khan masjid.
1;Could be much better...;This is one of the 12 gates of old Lahore city and the one that straight leads to Wazir Khan Mosque. Vehicles are not allowed inside beyond the gate. The area around the gate is very crowded but if one wants to get the taste of old Lahore, this (along with Wazir Khan Mosque that is few hundred yards inside the gate) is the place to go. Lot of small houses with old wooden balconies and small shops selling traditional goods that one may not find in modern Lahore. <br>Parking could be a problem and one may have to find a place that could be 300 to 750 yards away. The gate doesn't perhaps merit an independent visit but along with Wazir Khan Mosque, it forms a good package.
1;Excellent;I have my dad's shop there...when we enter that huge gate..the market starts and we get to see old buildings and many sikh traders over there..
2;Beautiful complex but no easy access. See it from the outside;It is a distinctive and magnificent building complex. A true classic in its style and architecture. Best to see it externally. Between the intense traffic and the place being heavily guarded the direct access is practically impossible. Admire but from the outside
2;Better view on TV screen!;The entire area is cordoned off and so we were not allowed to go anywhere near the building. The view from a distance didnt do justice to its grandeur. The visit was so poor that the BSF posted there even shoo off cars dropping the visitors. Things should be managed better and tourists shouldnt be shooed off like stray cattle!
2;Nice evening visit;The best way to reach here is to get down at Central secretariat metro station and walk down. The view at night is beautiful after the buildings are lit.
2;Circular in shape;Edwin lutyens had designed this building in 1912, and construction was completed in 1927. It is believed that lutyens inspired by the design of the Chausath Yogini temple in morena dist. in Madhya Pradesh and incorporate the circular design.<br><br>Very impressive building but only outside glimpse is possible as entry is restricted.
2;Evening visit;We are arrived at about 6 in the evening and it was a quiet time to view the magnificence and scale of these buildings. We noticed a sign that a light show was to start at 6.30 pm and this covered the buildings in various hues of colour making it all the more striking. it is certainly one of the main sights to see, the grandeur of the architecture from colonial times and so at odds with the drama of other parts of the city.
2;Enjoyed the architecture;While in the area for India Gate, our driver drove us by so we could see the beautiful building. The flowers and areas near by make it a lovely spot.
2;Parliament House Museum;Parliament House Museum is a nice place for our history and constitution. You can see here debate in Lok sabha and Rajya sabha. For entry passes are necessary.
2;The Sansad Bhavan;This is an impressive building, equally as impressive as the Rashtrapati Bhavan the former housing the Parliament and the latter, the President of India. It was constructed between 1921/1927. As with many other buildings and attractions, we had to be satisfied with a drive past on 7/10/19, barricading and armed security everywhere. Apparently it is possible to obtain a general entry pass if the House is not in session. Grandiose.
2;Nice;Indian parliament is one of the best place in India to know our history and lovely place it was .located in sansad Marg New Delhi
2;India’s Lok Sabha and Rajya Sabha both Houses of Parliament;This is an architectural beauty and a circular building. British had made it in 1920s. Both Lok Sabha and Rajya Sabha, members transact business here for discussions and former making laws for the Indian democratic Republic. You must spend lot of time to understand the working of this place. <br>Amolak Rattan Kohli <br>Former Governor of Mizoram
2;A seat of Power of the biggest democracy of the world;The impressive round building is a treat to eyes. Done up in Victorian style speaks a volume about the seat of Power of the biggest democracy.
2;Worth a look;Probably not a stand alone attraction, as we could only do a drive past, however it was a very impressive Building (built by the british in the early 1920’s) to see, as it is the centre of the worlds largest democracy.
3;Lovely;Huge and beautiful, Rashtrapati Bhawan strikes you with its grandeur as it comes into view from afar. The walk from there to India Gate is just astounding for the superb views all around.
3;Fabulous once in a lifetime experience;Took the tours of circuits 1, 2, 3 on same day. Its definitely an experience to visit these places once in a lifetime. The Circuit 1 is for the main building which is most difficult to get a booking as it opens 1-2 weeks before and has limited seats. Need to constantly monitor their website in order to book it. <br>Took the metro to central secretariat and then rickshaw (30 pp) to gate 35. Its convenient to first visit the Circuit 3 (gardens) in the morning between 10-12 as it could become difficult to walk around this hugh gardens in hot sun later. On way out their is a cafeteria where you can take snacks and lunch. Later plan to visit the museum (Circuit 2) through gate 30 which houses nice artifacts from history and has a nice guided tour. Finally took another rickshaw to gate 38 for the main building tour at 3 pm which lasts for an hour and covers all main halls inside the rashtrapati bhavan. Overall a once in a lifetime experience which tooks around 6 hrs and lots and lots of walking!
3;SIMPLY STUNNING IS SIZE;This is the home of the Governor of India , and official residence of the Governor. <br>It was constructed between 1799 and 1803 at a cost of R14M (about $A250000) one can only speculate what todays value would be!<br><br>This is an enormous building containing over 340 rooms and is situated on a 130 hectare garden. It is the second largest official residence in the world behind one in Italy<br><br>Its scale needs to be seen to be believed.<br><br>We only had the opportunity of viewing this building from the outside perimeter so could not fully vappreciate it for what it clearly is.<br><br>As we viewed iot from the outside only is reflected in the low score
3;Massive;The Indian Colonial rulers were always thinking big (it wasn't their own money they were spending) : first considered by Lord Wellesley, this behemoth was designed by architect Lutyens. It is now the 2nd largest residence of any head of state in the world, spreading out over 130 hectare.<br>Located opposite India Gate, it makes for a grand photo opportunity.
3;Official residence of the President of India;The complex is one of famous designs by Lutyens . There is a lot of history connected with Rashtrapati Bhavan. The tickets can be prebooked on line. Don’t miss the change of guard ceremony and Mughal Gardens
3;Must visit for every Indian;To view the rashtrapati bhawan was dream come true. The view and knowledge of the Indian history was superb and yes so well maintained. Proud to have visited.
3;Parliament House Museum;Parliament House Museum is a nice place for our history and constitution. You can see here debate in Lok sabha and Rajya sabha. For entry passes are necessary.
3;The Sansad Bhavan;This is an impressive building, equally as impressive as the Rashtrapati Bhavan the former housing the Parliament and the latter, the President of India. It was constructed between 1921/1927. As with many other buildings and attractions, we had to be satisfied with a drive past on 7/10/19, barricading and armed security everywhere. Apparently it is possible to obtain a general entry pass if the House is not in session. Grandiose.
3;Nice;Indian parliament is one of the best place in India to know our history and lovely place it was .located in sansad Marg New Delhi
3;India’s Lok Sabha and Rajya Sabha both Houses of Parliament;This is an architectural beauty and a circular building. British had made it in 1920s. Both Lok Sabha and Rajya Sabha, members transact business here for discussions and former making laws for the Indian democratic Republic. You must spend lot of time to understand the working of this place. <br>Amolak Rattan Kohli <br>Former Governor of Mizoram
