poiID;title;text;
1;amazing and emotional;Hi, <br>was on the tour last night (15/11/2022) Jackie was our tour Guide, absolutely amazing tour, the passion Jackie showed for her job was brilliant. the information we found out about our city was truely emtional and educatonal. My husnad and 2 sons attended and Jackie catered for all ages, even a 12year grmupy boy,  who was reluctant to attend was  laughing!:) <br><br>could not reccommend the tour enough, when the steam train arrives we will be booking again! Jackie is your golden nugget. thankyou Jackie for educating us and reminding us what a great train station Glasgow Central really is (also our City) makes you go home feeling proud <br><br>Vicki Miller
1;High Degree of Accessibility;One of Scotland’s more accessible large train stations. Unlikely Queen Street, the toilets remain free to anyone needing access to their (essential anyway, but doubly so to those of us with disabilities). Staff generally on hand for any support required, good number of self-service machines, etc.. Signage is consistent, with the only real issue ever occurring being how the huge queues that emerge to the left-most side of the station are ordered - limiting ease of movement around this part of the station during particularly busy times.
1;Central Station day out;We had a great day on the Glasgow Central Station tour, Jackie was extremely knowledgeable and passionate about all aspects of the tour. Having been in the station many times over the years it was very interesting to see the parts of the station that are no longer open to the general public.<br><br>The museum was very interesting and it was good to see it in the flesh as we had seen Jackie talk about it on the television programme . We would highly recommend the tour to anyone who wants to know more about the history of this fabulous station.<br><br>Outside the museum is a slide show about the role the station played in the repatriation of the armed forces of the Great War, a very sobering episode .<br><br>We will go again and hopefully see the Victorian platform when it is refurbished. A most enjoyable day out, thanks in no small measure to our fabulous tour guide Jackie
1;Cenrtal station tour;The Central Station Tour was excellent. Paul our tour guide was wonderful he told the history of the station in a way we all could relate to , what a wonderful tour never knew much about the history of the station until now it really was fascinating, I Would recomend  it to anyone of all ages. As I said Paul was wonderful and extremely witty<br>Well done to everyone involved..
1;Glasgow Grand Station Historical Tour;The tour was brought to life by the knowledge of the tour guide, retired station master from Paddington and many other large mainline stations. He is passionate about the long history of Glasgow central station and believes that this must be passed on to future generations. His teams untiring work of unearthing, literally, past histories and continually adding to the tour agenda, showing some of the two square miles of the station in areas not available for general access.<br>Definitely worth the tour especially for engineers, an interest in railways, Glasgow's development history enabled by railways. <br>If it’s a dreich day in Glasgow this is the tour to take - could be sunny when you return to the surface.
1;Glasgow Central station  tour;The whole tour is outstanding ,the stories Paul tells  really bring to life the history of the station. His enthusiasm  and genuine love of the station and Glasgow is palpable <br><br>My favourite part was Standing underground on the Victorian platform looking along the old tunnel and catching a glimpse of a train in another tunnel.<br><br>You may come with memories I guarantee you will leave with many more.
1;Central Station Tour;I attended this tour today, I had high hopes as I’ve wanted to do it for years and it surpassed my hopes and expectations. Paul was our guide and his passion for the station was infectious. He tells stories with heart, warmth and humor  and brings history to life. I highly recommend the tour and I look forward to going again to see the forthcoming changes.
1;An excellent experience;This tour was excellent. It was very enthusiastically led by our guide, Jackie,  who gave us a full history of the station, from its development in Victoria times through to present day and included Glasgow's industrial and social history.  She was very informative and also very entertaining.  We were shown three levels from the main concourse of Central Station down to the bowels below including an original lower platform, which awaits further development in future. The newly opened station museum was very interesting too, containing many artifacts which I could remember from childhood. Very nostalgic and highly recommended.
1;First class Victorian station tour in the heart of the city.;History tour brought alive by  the knowledge and passion of the tour guide Jackie. <br>This is a fantastic tour of this Victorian Train Station from the industrial Revolution through the First World War and Second to the present day. <br>A must do tour for visitors and locals of the city. <br>Can’t believe the knowledge I gained on this tour.
1;Pro’s and Con’s;There are pros and cons to this station for me, the cons being that the station is a bit grubby and it’s busy and the toilets are down a flight of stairs which is not easily accessible if you have luggage. The pros however is that the seating and the departure board is perfectly situated and there is a costa coffee to sit in and wait if your like me and always way to early. So I had a pleasant enough experience, I wasn’t wowed but it’s not the journey it’s the destination as they say!
