"poiID";"title";"text";
"1";"";"This station has its fair share of problems. For one, the signage on which side of the platform you have to take in order to enter/leave the metropolitan area could be a lot clearer, especially on the two main paths to enter the station. Pedestrian access is also very poor, too many lights to cross the road with no protective barries making the journey a little risky if nearby traffic is busy. Disability access could also be improved greatly by updating the paths to make them more smoother and also providing a lift for people who take a while to travel up the ramp. Lastly, they have no electronic signage here telling you when the next train is and when the next train times are. You have to trust the slightly puzzling train timetable or just look at your phone.";
"1";"";"Very desolate and quiet during the evenings. Especially at 1:25am in the morning!";
"1";"";"Clean station with machines to buy tickets on each traveling side. Close by from tram stop 22 on 59 tram line.";
"1";"";"You have to rely on your phone or a fuzzy info box just for the next train, that's my main gripe with this station. Another problem is its poor interchange between the two platforms. Really? You want me to cross through traffic lights just to get to the other platform?";
"1";"";"This station is dirty and filthy, it has an old run down wooden building on each side of the station. This station is also very thin probably  one of the thinnest. This station is like North Richmond but worse. I expected better for flemington.";
"1";"";" Can't believe the reviews this station is getting. Noisy, concrete-jungle surroundings, highly unpleasant. The only good thing about this station is that you're one stop away from the delightful Royal Park station, and the wonderful Melbourne Zoo.";
"1";"";" Station is pretty awful. The stupid switchback ramp that cyclists have to negotiate on a major off-road bike path is ridiculous. The whole station should be demolished and rebuilt with far improved access.";
"1";"";"Just your run of the mill elevated train station (Upfield line). The concrete wonder of the elevated Citylink expressway & other overpasses snake around it. In the background are the commission flats & a huge straight yellow pillar looming over the expressway at a precarious angle... as if it would fall any moment and slice the expressway & the hapless commuters below. I suppose this is meant to be art. The large expanse of the concreted drainage basin of the Moonee Ponds creek is nearby. Behold the dystopian brutalism of concrete all around you while standing near it (when its dry). You'll feel like you've walked onto the set of 'Blade Runner 2046'...";
"1";"";"A SMALL METRO STATION ACTUALLY BUILT ABOVE THE BUSY ROADS. Flemington Bridge it's literally that - a station on a bridge. As a consequence it does create some challenges for people with impaired mobility as its quite a height from ground level access point to the platforms.";
"1";"";"platform far to get on the train I risked falling down I have problems with my legs and it is risky in platform 2 please the tracks must be closer not good I hope you solve it as soon as possible.";
