poiID;title;text;
1;What a wonderful venue;Jordan and the team made hosting our Sangeet night at the Perth Town Hall a wonderful experience!! What a wonderful venue, brand new floors, state of the art lighting and full of history, I would highly recommend you consider the Perth Town Hall for your next function. Thank you!
1;Renovated Town Hall clock still chimes the hours;The scaffolding is down on the Perth Town Hall after months of restoration. The Town Hall clock performed an important function in days gone by, keeping time when few people could afford watches. Indeed, it was not unusual for different cities to work to different times. The clock face now has the lustrous colors in had in the 1870s and the tower has been restored The Ennis family has maintained the Town Hall Clock for almost 100 years. I can remember going into the Ennis's jewelry shop with my mother when I was in primacy school, which is a long time ago now.
1;Symbol of pride for the people of Perth;For many years, Perth Town Hall was the most prominent civic building in the city. The Town Hall is built of red brick in Gothic style, with embellishments such as the broad arrows indicating that it was built by convict labour. In recent years, the people of Perth have taken renewed pride in this historic building. The ugly grey panels at the base of the Town Hall have been replaced with red brick that matches the original masonry, and the Hall has been renovated. Once more, the Town Hall is a symbol of pride for the people Perth.
1;The place where my parents met!;Although the building is nothing special, the area that's surrounding it is magical to me. Seeing how an area changes and urbanises throughout the years is truly something special that can only be witnessed with time. For anyone going for a walk around the area, take time and pay attention to some of the finer details that's incorporated in the architecture of the Town Hall
1;Historic Elegance;Beautiful building dating to 1869 and the only Town Hall in Australia built in the Gothic style and built by convicts. I last visited in the 1980/90's for philatelic exhibitions and collector fairs. Since then the building has undergone extensive renovation and restoration, completed in 2005, and which returned the building to its former charm and elegance. Wonderful to have the opportunity to revisit and view the interior restorations and the artefacts displayed on the upper floor. The massive support columns add an aura of permanence. Great informative plaques are affixed to the exterior walls. This grand building is set to charm many future generations
1;Heritage & History;Perth Town Hall really stands out regardless which direction your approaching from within Perth City. A small park area opposite & relax and patiently wait for the Clock to Chime. Unfortunately I didn't have time to go inside
1;Australiia's only town hall built by convicts;The Perth Town Hall was bulit in 1870, by convicts. If you look carefully you can see the broad arrows left by the convict builders, the mark of shame they carried on their backs. The Town Hall is built in Gothic Revival style, made with red Western Australian bricks. For many years, there was a horrible grey base disfiguring to the Town Hall now it's been upgraded to the original structure. In addition, the Town Hall has been modernised to host weddings, parties -- anything! In years gone by, the Wildlife Show at the Town Hall was the height of a naturalist's year. Perth may be a much bigger, more proserpous city the Town Hall is a reminder of things past.
1;Attractive Building;We noticed this handsome building on our walk about tour of the city. It looks good and impressive. Nice part of town.
2;Excellent 2pm Friday tour of Parliament House;Attended the excellent 2pm Friday tour of Parliament House, which was informative, fascinating and brought alive by our excellent guide Tina from the Parliamentary Education Office . She went above and beyond the usual tour guide remit to bring us anecdotes and history of the building, its practices and stories of the surrounding area and also how the parliamentary process works from the floor of the Legislative Council and Legislative Assembly chambers. We saw the dining arrangements and administrative offices, discussed the similarities and differences between our own British House of Commons and House of Lords, and concluded the tour with some free momentos of the day. It was a relaxed, informative and entertaining visist, which I would recommend to anyone that is keen to learn more about the Western Australian parliament and its history. There is also a very reasonably priced souvenir store.
2;Heritage building few will ever see;Parliament House is one of Perth's most impressive buildings, but few will ever see inside. The external structure, which is built of pinkish sandstone, can be seen on the hill at the end of St George's Terrace. It's hard to miss. The innterior can seen on a tour, The Legislative Assembley is in green, as is traditionanal for the lower house, as is the red upper house, the Legislative Council. I have visited Parliament House several times, it's a pity it's so difficult to get inside
