poiID;title;text;
1;Hmmmm;So this is the epicenter of pro hockey, the arena was odd lets just say.  There are only two big decks so you would think the concourses would be wide, not the case, you are really crammed in there.  I did get a foot long hot dog and a nice blend of peppers was available at the condiment bar so that was good.  Beer prices are what they are at pro venues so there is no point in complaining about that.  We sat in the upper deck under an overhang of luxury suites that hang down from the roof which didnt hamper our view of the ice but it made it so you couldnt sit there and see the whole arena, also the sections are wide so there will be up to 30 seats in a row.  This place is OK but for it being the arena for THE team in Canada it was kind of a disappointment.  On a positive note it is literally connected to the downtown commuter, long distance and  subway trains station so you dont even need to drive there, the GO train in from Oakville took about 40 mins.
1;Go Raptors!;This was our first time , we were here to watch the Raptors play. The arena had a great selection of food, it was easy to navigate the arena. Overall we had a great time watching the game.
1;Almost a 1/2 hour wait to use Restroom;The game was great. A 25 minute wait to use a restroom is inappropriate.  Also the restrooms are not clean due to the usage. If there was a fire, it is hard to believe that this facility meets safety obligations. The price of snacks and alcohol is price gouging. Otherwise the environment is great!
1;What a game!;My second time here in 6 months. I was here in November for the Legends game for Daniel Alfredsson’s Hall of Fame induction. That time was perfect.<br>This time was for my first Raptors game. My son and I had a great time. We were in section 323 in the last row. Yes it is far up there. I tried to change my tickets because I received an email from the Raptors on game day that new tickets were released. When contacting Ticketmaster , it could not be done due to 24 hour time frame. So confused, as I was willing to pay an extra 600 dollars for the upgrade. Not to mention once the game started there was so many empty seats in the 100 level.<br>During the game way too many people were lost and blocking the aisle and ruining our view from the last row in 323. No staff said anything until the end of the game when we were told to leave shortly after the game ended. Not to mention upon arrival for the game at gate 1 there was an employee screaming at everyone with a microphone to go up the stairs to another line.<br>Overall we had a great time during the game. There was a tv on the wall to see game moments.<br>I downloaded the Raptors app to have some food delivered to our seat. That was awesome and quick!<br>The show and game was incredible! Food service and merchandise shop staff were awesome too!<br>Go Raptors!
1;Birthday Game!!;Good place to watch Hockey. Lots of drink and food options. Went for Birthday. Too bad they didn't have my name on the jumbotron as requested.
1;GO RAPTORS and GO MAPLE LEAFS.;I've always dreamed of going to see either a Raptors game or a Leafs game. I really like to how awesome this place looks. Nothing to dislike about this place.
1;A good venue;I've been to both sporting and concert events and was pleased with both.  As expected it's very expensive,  Save it for something you really want to see.
1;Huge place;Saw a performance by the Eagles.  LOTS and LOTS of people.  Very crowded.  Kind of narrow seats. Nice to have a drink holder at each seat.
1;Delayed entry - missed part of concert;Re: Eagles Concert Sept 10, 2022<br><br>Scotiabank Arena reassigned seats / tickets, ON THE SPOT, JUST PRIOR TO ENTRY, for a very large group of audience. This caused a severe congestion, and entry to the arena was delayed for many, many people.<br><br>At no fault of our own, we were forced to miss the first 2 songs, including Hotel California.<br><br>Appalling and disappointing experience. Good band, bad venue.
1;Terrible sound in 300 sections;Attended Due Lipa's concert today and was disappointed with the sound quality here. It's like the speakers weren't working in this section at all, didn't really "feel" the music and couldn't understand much of her vocals either.
1;Good to see concert, not great to get service;The venue is great to hear and/see a concert.  The line ups to get served are extremely long and take most of the events time to get served.  During event many of the serving stations are not open.
1;great building;seen a few hockey games and some concerts.  This is a great building to watch concerts and Games.  again beer is expensive here plus some places have a admin fee which you don't catch  plus if you tip you end up tipping twice.
