poiID;title;text;
1;Very interesting;Lovely to have a tour without the crowds which enabled one to appreciate its beauty.  The hand held guided talk was very good
1;Poor information, a lot of moneys;We had a tour in this place . Information was provided poorly. We were informed that we have to pay top price to visit palace and gardens, but access to gardens was free. We also were informed that tour in English language starts in 1.5 hour, we’re we waited and wasted, because tour  could be started anytime, because it actually provided by electronic hearing devices.
1;Amazingly beautiful!;Amazingly beautiful palace, worth the money you pay. Stunning, magnificent, truly royal. We got audioguide in Ukrainian language which is quite rare to find.<br><br>The only thing is: it is forbidden to make photos in the palace ( so, of course, we have not), but many people do and nobody cares. The same with smoking in the gardens. I just do not understand why to forbid things if they do not have enough staff to control that these rules are obeyed to,  It would be fair thast either nobody gets photos or everybody does.
1;And amazing experience, but the ticketing is confusing;The palace and gardens are truly remarkable. It is an amazing setting and lovely to explore. The ticketing system is confusing and haphazard. Surely it could be simplified.
1;Audio guide included in the ticket price;Took the Grand Tour of Schönbrunn Palace in early March 2023. An audio guide is included in the ticket price. Ornate interiors. No photographs allowed. After the tour, I strolled through Schönbrunn Palace Park. It was a cold, cloudy day with light rain. No garden or water features during the winter.
1;10/10;Got the grand tour as part of the Vienna flexi pass. When we went to get tickets (prepaid with the pass) they said we couldn't enter for two hours because it was busy that day. Minor inconvenience we returned at our designated time and it was worth the wait. We were given audio guides in English which was helpful. Top tip: the gardens are free to enter and walk around and are very large so if you have to wait for your tour time I'd highly recommend walking through the gardens. We went when the weather was a bit cold and very rainy but it was still beautiful. Tip: no backpacks allowed and there was a long queue for the cloakroom so either don't bring a rucksack or get there early and expect to have to wait a while.
1;Good but not great;We held a lot of hope for visiting this beautiful palace, but truth be told I don’t think it lived up to the hype. It was easy to get to on the metro from the centre of town, and I expect the gardens would be lovely to walk around for free in the summer. But in the winter, the gardens were quite bleak and the Christmas market wasn’t as good as others in town, so all that was left was the tour of the palace. We did the imperial tour (the shorter one) and from arriving at the main gate to doing the tour, and all there was to see and hear in the audioguide, only took us about an hour. We stayed a bit longer to look round the Christmas market and have some lunch, but it felt like quite a short visit to say you have to travel out of the centre for it. The palace itself was incredibly busy, so it felt more like a slow moving queue the whole way around. It was possible to visit with our baby in his buggy, but we were asked to carry it up the stairs as the wait for the lift was very long with just disabled people. This was fine for us, but may be a struggle for others with bigger prams. It was absolutely worth booking ahead though, as the ticket office queue when we arrived at 11.30 was massive. By 2pm when we were feeding our baby in the cafe by the ticket desk there was no queue at all and there were still tour times available, so if you’re going to walk-up make sure it’s at the end of the day. Mentioning food/drink, the cafe by the ticket office was not very good or not friendly so I would recommend avoiding it. The lunch we had at Cafe Residentz however was nice, so worth possibly waiting for a table there if you’re staying for food or drink.
1;Beautiful, here’s a few tips;This place is amazing but here are a few tips.  Even with Vienna pass you need to go to the ticket booth prior to entry to exchange for a paper ticket by time.  Go early because you may have a long wait prior to entry. We went on a rainy day with light crowds and had to wait 1 hour and 45 minutes.  There  are many other attractions to see on the grounds while you wait.  The strudel show was fun, go to the cafe in between the ticket booth and main entrance to the exhibit.  You can not take pictures inside.  The audio tour was great.
1;Our number one site to visit in Vienna. We spent 6 hours there and found it to be very worthwhile and enjoyable for the whole fa;3 generations visited this magnificent palace. In addition to myself my daughter and her husband were their 11 and 8 year old sons. <br>My complaint was the difficulty finding some of the things. The maps did not show where the maze was and the children wanted to see that first. We finally resorted to Google directions. You go in the back of the palace and walk towards the giant fountain. Partway there on your right between 2 statues is a recess with a sign that says maze labyrinth. The family enjoyed it although some areas had big puddles from the rain. There is also a children's playground that they both enjoyed and rest rooms.<br>The palace was magnificent.  Please be advised no backpacks or umbrellas are allowed on the tour, but there is a place to check them. We bought complete tickets but the strudel making closes admission 30 minutes before the final presentation which we missed by a few minutes.<br>This zoo has pandas. The best place to eat at the palace is an 18th century building in the center of the zoo that was a breakfast site for the royal family. You can get real meals there and the food was very good. The prices are better than the other restaurants and you can sit inside. It says they have wifi, but we were unable to get wifi the day we visited. <br>We were disappointed the books they had in the gift shop did not have the pictures we wanted to purchase and another tourist made the same comment in disappointment. <br>We purchased 2 books of photos when we visited the palacevin Madrid that we have shared with a lot of people and expected the same kind of publication. <br>The full tour was well worth the money and we recommend visitors buy tickets that cover everything<br> <br>
1;Huge Palace;Schonbrunn Palace is a vast building surrounded by gardens with varying uses. The entry fee for a tour of the state rooms was 20 euro which entitles you to an audio device or a booklet (but not both). The tour is limited to several rooms which give a feel for the palace as a whole. Unless you are really into its history a long guided tour could be exhausting. Interior photography is not permitted.<br>The palace grounds are free to visit in most places and the Gloriette Hill provides a magnificent view of the palace and Vienna. It also has a nice little restaurant which is worth dropping in.<br>The palace is next to the train station. It was surprising how packed the palace was for a weekday. It could be a nightmare at busy times.
1;Quite impressive;Schonbrunn is absolutely massive, you have to book a time slot for the grand tour. I think it depends on previous experience but although the ceilings are quite impressive the rooms are quite sparse with mainly tables and chairs set up as sitting rooms. I'm glad we visited but I'm not sure I would go again.
1;Easter market 2023 on grounds of Palace;Easter market was so charming. It’s in the grounds of the palace. Foods available and a manual merry-go-round. Sadly we got there as they were closing , but it’s really cute and well manned
1;Dress as a princess !;Fantastic place - plan and book your visit in advance - the grand tour was spectacular and in the children’s museum you get to dress up as princes and princesses ! This entertained my 10  and . 13 year olds for at least 1.5 hours ! The maze was also a fun family competition !
1;Imperial extravaganza;Pay attention now : if you have a Vienna pass you need to walk into the building where the hop on bus stops, you will get a ticket with a time on it. Don’t go into the palace without it, you won’t get in and have to go back. We did the Imperial audio tour, very interesting. Gardens are free, huge and amazing, you can also go up the Gloriette with your Vienna pass for amazing views. We had lunch at Cafe Landtmann in the grounds, finished off a great trip.
2;<span>Learn more</span> about animal welfare in tourism;Oldest zoo - lovely !
2;This zoo is excellent -<br>Great exhibits, variety of animals  and . lovely grounds.  Attached to gardens of palace<br>;Wonderful family experience
2;Oldest and extremely well made zoo where you and your kids will love to wander around with smiles all the way. This is a prime example of a zoo where you can see that animals have space to prosper.;Enjoyed it
2;Really enjoyed our visit, there are lots of different animals although there were some that were not out because it was so cold. You could easily spend hours here.;Amazing experience
2;Visited because I knew the have programs for endangered species and works with many animal protection organizations .The Pandas were a little shy, but it was a true privilege and a dream came true by seeing one. Small issue for me was the animal feeding times as the announcements are in German;An amazing zoo to visit!
2;An unbelievable experience at Schönbrunn Zoo, when visiting Vienna. And a must-have on your travel itinerary! A to Z of animals to see, from every continent around the world and of course, being one of 27 worldwide zoos to have the giant panda as an attraction. A true wonderous privilege to see in person!;The place to be!
2;We visited twice in 2021 and 2022, with 2 kids (5-9). The atmosphere of the Zoo is royal, as it was an "Animal garden" for the royal family. The highlight is of course the Koalas and the Pandas. They are just adorable! We found new friends in the Zoo - two Hyppos! They are sooo cute, they swim in an inside room, and you can observe them for hours.;Amazing
2;Learn more</span> about animal welfare in tourism;One of the best zoos I've visited
2;I love animals and I try to visit zoos in the cities I travel to. Vienna Zoo is definitely one of the best zoos I've ever visited. It has places to eat, different zones with animals and you can easily spend 4+ hours there.;Nice day
2;The zoo is well maintained, it has many animals and the paths are well marked. You can easily spend a day without getting bored<br> Attending the feeding of the sea seals is must as it is a great show. Disappointing but might be better in Summer/Spring
2;Visited as part of a Palace/Zoo package on a cold December day. The zoo is the oldest in the world and some areas are very old and rundown and need upgrading. Many of the animals are bored and it is sad to see them that way. There are newer exhibits and that is a good thing. The zoo also looks very dull and sad during winter but that is Europe winter for you. We spent about 2 hours but did miss one section, but the cold was too much for us.;Amazing!
2;Wonderful place to see and enjoy if you are an animal lover. You literally can touch and have close contact with animals.;A fantastic zoo
2;It is a fantastic zoo with a large array of animals.<br><br>There were lots of animals out even though it was cold.<br><br>The zoo is very ineratcive. We got to see tigers being fed, which was great.<br><br>The signs are clear, but the map helps a lot, too.<br><br>This is the world's oldest zoo, and it is in great shape still with lots of interesting animals.<br><br>This is free on vienna pass;Perfect day
2;Best zoo ever! Maybe bring your own food as food is expensive and we had to wait a long time for a table as their central cafe. The animals seem well looked after and there was so much to see.;Better than you can imagine
3;Nice vintage wheel, lacking a slight view!;It is a great ferris wheel and a must do as it is a landmark of the city. It’s also been used in many films including James Bond. The view isn’t that impressive to be fair but it’s nice being in such a traditional ferris wheel. If you are a couple you will be with others as it fits around 12 people but you will be walking around looking at views from all angles. But when in Vienna…
3;Great view;I'm not sure what I was expecting and yes it's a great view but it's one very slow ride, it stops at every car to let people on and you only go round once and that's it, over before you know it.
