"photoID";"userID";"dateTaken";"poiID";"poiTheme";"poiFreq";"seqID"
12344732513;"100895643@N03";1390881648;120;"Leisure/Recreation";357;1
12344760173;"100895643@N03";1390881702;188;"Place of Worship";225;1
12321530175;"100895643@N03";1391604753;190;"Transport";351;2
12321735773;"100895643@N03";1391604757;120;"Leisure/Recreation";357;2
12322029584;"100895643@N03";1391604759;120;"Leisure/Recreation";357;2
12322044814;"100895643@N03";1391604761;120;"Leisure/Recreation";357;2
11768725924;"101884347@N06";1386981574;97;"Office";148;3
11769094426;"101884347@N06";1386981692;97;"Office";148;3
11768756124;"101884347@N06";1386981972;189;"Place Of Assembly";765;3
11768597463;"101884347@N06";1386982105;189;"Place Of Assembly";765;3
11768762064;"101884347@N06";1386982179;189;"Place Of Assembly";765;3
11768766564;"101884347@N06";1386982233;189;"Place Of Assembly";765;3
11768359575;"101884347@N06";1386982272;189;"Place Of Assembly";765;3
11768616573;"101884347@N06";1386982312;189;"Place Of Assembly";765;3
11768619193;"101884347@N06";1386982409;189;"Place Of Assembly";765;3
11768378535;"101884347@N06";1386982466;189;"Place Of Assembly";765;3
11768382115;"101884347@N06";1386982608;189;"Place Of Assembly";765;3
11768636943;"101884347@N06";1386982652;189;"Place Of Assembly";765;3
11768643743;"101884347@N06";1386982675;189;"Place Of Assembly";765;3
909465863;"10195518@N02";1180847798;57;"Place Of Assembly";58;4
1145062626;"10195518@N02";1187169555;6;"Place of Worship";67;5
1144222893;"10195518@N02";1187169711;6;"Place of Worship";67;5
1144228037;"10195518@N02";1187170303;241;"Place Of Assembly";23;5
1144230811;"10195518@N02";1187170897;177;"Place Of Assembly";133;5
1144232633;"10195518@N02";1187171006;177;"Place Of Assembly";133;5
1144233905;"10195518@N02";1187171230;177;"Place Of Assembly";133;5
1145077564;"10195518@N02";1187171866;6;"Place of Worship";67;5
1145079518;"10195518@N02";1187172158;203;"Mixed Use";176;5
1307742690;"10195518@N02";1188620918;131;"Place Of Assembly";331;6
1301885704;"10195518@N02";1188622886;123;"Leisure/Recreation";258;6
1503591112;"10195518@N02";1191728406;97;"Office";148;7
1503034131;"10195518@N02";1191728491;97;"Office";148;7
1502572295;"10195518@N02";1191729053;97;"Office";148;7
1538394435;"10195518@N02";1191980375;77;"Leisure/Recreation";307;8
1529589492;"10195518@N02";1191980793;77;"Leisure/Recreation";307;8
6281109163;"10204545@N02";1319583950;65;"Community Use";500;9
6343396952;"10204545@N02";1321249118;163;"Transport";91;10
6343409780;"10204545@N02";1321249466;163;"Transport";91;10
6343415890;"10204545@N02";1321249634;163;"Transport";91;10
6342674381;"10204545@N02";1321249885;163;"Transport";91;10
6387256759;"10204545@N02";1322023815;65;"Community Use";500;11
6768249495;"10204545@N02";1327623667;201;"Mixed Use";104;12
6834208978;"10204545@N02";1331675460;87;"Place of Worship";81;13
6995769141;"10204545@N02";1332135762;150;"Community Use";258;14
6990971652;"10204545@N02";1335999097;65;"Community Use";500;15
7540573110;"10204545@N02";1341892052;55;"Place Of Assembly";40;16
7540811712;"10204545@N02";1341895059;55;"Place Of Assembly";40;16
7566422318;"10204545@N02";1342248196;228;"Leisure/Recreation";156;17
7571431842;"10204545@N02";1342313781;125;"Place Of Assembly";116;18
7606862182;"10204545@N02";1342747528;65;"Community Use";500;19
8442896058;"10204545@N02";1359928386;61;"Transport";122;20
10009376494;"10204545@N02";1380497719;190;"Transport";351;21
10151997375;"10204545@N02";1381220335;201;"Mixed Use";104;22
11331696133;"10204545@N02";1386809710;165;"Transport";42;23
5344526584;"10286664@N03";1294700686;35;"Community Use";349;24
5350960790;"10286664@N03";1294884858;178;"Place Of Assembly";66;25
5350971618;"10286664@N03";1294885093;178;"Place Of Assembly";66;25
5350981470;"10286664@N03";1294885388;178;"Place Of Assembly";66;25
5337238053;"10357544@N07";1294538342;124;"Place Of Assembly";187;26
5819343973;"10357544@N07";1307754660;189;"Place Of Assembly";765;27
292314306;"10368554@N00";1155547833;88;"Place Of Assembly";53;28
1232614250;"10368554@N00";1186242241;164;"Transport";70;29
10226693675;"105106606@N05";1368084989;228;"Leisure/Recreation";156;30
10226614664;"105106606@N05";1368327444;97;"Office";148;31
8168308331;"10512081@N00";1336215421;80;"Place Of Assembly";129;32
8168308523;"10512081@N00";1336354868;213;"Leisure/Recreation";105;33
8168337438;"10512081@N00";1336355665;4;"Leisure/Recreation";96;33
375423294;"10559879@N00";1170036683;190;"Transport";351;34
375423385;"10559879@N00";1170036807;190;"Transport";351;34
375423542;"10559879@N00";1170206723;62;"Place Of Assembly";113;35
375423620;"10559879@N00";1170211240;12;"Place of Worship";95;35
380503935;"10559879@N00";1170311179;62;"Place Of Assembly";113;36
380504105;"10559879@N00";1170401072;203;"Mixed Use";176;37
380504279;"10559879@N00";1170516386;241;"Place Of Assembly";23;38
380504419;"10559879@N00";1170545648;62;"Place Of Assembly";113;39
389030149;"10559879@N00";1171159428;105;"Mixed Use";150;40
389030253;"10559879@N00";1171164989;105;"Mixed Use";150;40
389030353;"10559879@N00";1171165012;105;"Mixed Use";150;40
423270334;"10559879@N00";1174040078;62;"Place Of Assembly";113;41
431316631;"10559879@N00";1174598479;203;"Mixed Use";176;42
525880278;"10559879@N00";1180664891;190;"Transport";351;43
525970951;"10559879@N00";1180664949;190;"Transport";351;43
525971297;"10559879@N00";1180664956;190;"Transport";351;43
2109403511;"10559879@N00";1197509438;62;"Place Of Assembly";113;44
2110182644;"10559879@N00";1197509706;62;"Place Of Assembly";113;44
2109407787;"10559879@N00";1197510939;62;"Place Of Assembly";113;44
2110184584;"10559879@N00";1197511016;62;"Place Of Assembly";113;44
2109545695;"10559879@N00";1197595179;177;"Place Of Assembly";133;45
2110184894;"10559879@N00";1197595510;62;"Place Of Assembly";113;45
2109413461;"10559879@N00";1197595896;62;"Place Of Assembly";113;45
2109409479;"10559879@N00";1197595963;62;"Place Of Assembly";113;45
2109413707;"10559879@N00";1197596758;62;"Place Of Assembly";113;45
2109554071;"10559879@N00";1197598202;38;"Community Use";455;45
2110329652;"10559879@N00";1197598209;38;"Community Use";455;45
2110344020;"10559879@N00";1197598316;235;"Retail";529;45
2109568349;"10559879@N00";1197598519;235;"Retail";529;45
2110343826;"10559879@N00";1197599281;235;"Retail";529;45
2310095186;"10559879@N00";1204612513;12;"Place of Worship";95;46
2333139446;"10559879@N00";1205380392;203;"Mixed Use";176;47
2332314083;"10559879@N00";1205380412;203;"Mixed Use";176;47
2332316501;"10559879@N00";1205485132;6;"Place of Worship";67;48
2332315167;"10559879@N00";1205485164;6;"Place of Worship";67;48
2333141930;"10559879@N00";1205485212;6;"Place of Worship";67;48
2333143092;"10559879@N00";1205485588;6;"Place of Worship";67;48
2344546575;"10559879@N00";1205877388;203;"Mixed Use";176;49
2345373568;"10559879@N00";1205889787;203;"Mixed Use";176;49
2345375084;"10559879@N00";1205890416;203;"Mixed Use";176;49
2349392316;"10559879@N00";1205967504;203;"Mixed Use";176;50
2349393348;"10559879@N00";1206078994;203;"Mixed Use";176;51
2449127382;"10559879@N00";1209367493;12;"Place of Worship";95;52
2462150565;"10559879@N00";1209718443;12;"Place of Worship";95;53
2462151347;"10559879@N00";1209718856;12;"Place of Worship";95;53
2462985706;"10559879@N00";1209719177;12;"Place of Worship";95;53
2462986770;"10559879@N00";1209721258;12;"Place of Worship";95;53
2462987456;"10559879@N00";1209721265;12;"Place of Worship";95;53
